Accident_ID,Accident_Date,Time,Day_of_Week,Sunrise_Sunset,City,State,Country,Area_Type,Junction_Type,Light_Condition,Road_Surface_Type,Road_Condition,Weather,Temperature,Visibility,Wind_Speed,Humidity,Vehicle_Type,No_of_Vehicles,Vehicle_Service_Year,Driver_Age_Band,Driver_Gender,Driving_Experience,Injuries,Fatalities,Casualty_Class,Casualty_Severity,Accident_Severity,Accident_Cause,Alcohol_Involved,Emergency_Response_Time
11,2020-11-26,13:10,Thursday,Day,Bengaluru,TS,India,Urban,Crossroad,Daylight,Gravel,Dry,Clear,42.2,3.6,34.1,64,Car,3,7,18-25,Male,Intermediate,5,2,Pedestrian,Minor,Fatal,Mechanical Failure,No,8
12,2024-01-22,10:17,Monday,Night,Mumbai,DL,India,Highway,None,Unknown,Gravel,Dry,Foggy,42.2,3.6,34.1,64,Truck,3,3,60+,Male,Beginner,3,0,Driver,Fatal,Minor,Mechanical Failure,No,17
13,2020-03-28,22:53,Saturday,Day,Hyderabad,DL,India,Rural,Crossroad,Street Light,Asphalt,Dry,Rainy,42.2,3.6,34.1,64,Bus,1,9,Unknown,Male,Experienced,5,2,Driver,Minor,Fatal,Weather,No,44
14,2023-10-28,17:55,Saturday,Night,Pune,TN,India,Rural,T-Junction,Unknown,Concrete,Dry,Foggy,42.2,3.6,34.1,64,Bike,5,3,Unknown,Male,Intermediate,6,1,Driver,Fatal,Major,Unknown,Yes,57
15,2023-01-28,22:10,Saturday,Night,Delhi,MH,India,Highway,Roundabout,Daylight,Concrete,Damaged,Rainy,42.2,3.6,34.1,64,Truck,5,16,Unknown,Unknown,Experienced,6,2,Passenger,Minor,Fatal,Signal Jump,No,25
16,2022-05-21,20:43,Saturday,Night,Hyderabad,DL,India,Urban,Roundabout,Unknown,Concrete,Damaged,Foggy,42.2,3.6,34.1,64,Truck,4,3,46-60,Unknown,Beginner,1,3,Unknown,Minor,Minor,Signal Jump,Yes,22
17,2020-05-10,04:22,Sunday,Day,Pune,DL,India,Urban,Unknown,Daylight,Concrete,Unknown,Rainy,42.2,3.6,34.1,64,Car,4,8,26-35,Male,Beginner,7,2,Pedestrian,Fatal,Major,Signal Jump,Yes,24
18,2023-08-25,08:58,Friday,Night,Chennai,DL,India,Urban,Roundabout,Unknown,Asphalt,Unknown,Clear,42.2,3.6,34.1,64,Bike,3,8,Unknown,Female,Unknown,2,2,Passenger,Serious,Fatal,Mechanical Failure,No,8
19,2022-02-08,08:53,Tuesday,Night,Hyderabad,KA,India,Urban,T-Junction,Dark,Gravel,Unknown,Clear,42.2,3.6,34.1,64,Auto,2,15,18-25,Male,Beginner,5,3,Pedestrian,Serious,Minor,Weather,Yes,36
20,2020-12-09,09:21,Wednesday,Day,Mumbai,DL,India,Highway,Roundabout,Daylight,Gravel,Damaged,Rainy,42.2,3.6,34.1,64,Truck,4,5,60+,Male,Unknown,2,2,Unknown,Serious,Fatal,Signal Jump,Yes,31
21,2023-12-08,18:00,Friday,Night,Pune,DL,India,Rural,None,Street Light,Concrete,Wet,Rainy,42.2,3.6,34.1,64,Car,5,13,Unknown,Male,Unknown,5,2,Driver,Minor,Minor,Signal Jump,No,29
22,2022-03-16,06:03,Wednesday,Night,Mumbai,TS,India,Urban,Crossroad,Street Light,Asphalt,Damaged,Unknown,42.2,3.6,34.1,64,Truck,3,15,26-35,Male,Unknown,6,1,Pedestrian,Serious,Fatal,Drunk Driving,No,11
23,2021-01-20,00:14,Wednesday,Night,Hyderabad,WB,India,Rural,Crossroad,Unknown,Concrete,Dry,Clear,42.2,3.6,34.1,64,Bike,5,7,Unknown,Female,Unknown,6,1,Pedestrian,Minor,Minor,Unknown,No,49
24,2023-04-30,07:11,Sunday,Night,Chennai,KA,India,Rural,T-Junction,Dark,Concrete,Dry,Foggy,42.2,3.6,34.1,64,Bike,3,12,60+,Male,Experienced,0,1,Passenger,Minor,Major,Overspeeding,No,34
25,2022-08-13,21:21,Saturday,Night,Mumbai,DL,India,Urban,Unknown,Unknown,Asphalt,Wet,Unknown,42.2,3.6,34.1,64,Bus,1,3,60+,Female,Beginner,3,3,Passenger,Serious,Minor,Unknown,No,27
26,2020-10-03,17:46,Saturday,Night,Delhi,WB,India,Urban,Crossroad,Unknown,Asphalt,Unknown,Rainy,42.2,3.6,34.1,64,Auto,4,8,Unknown,Female,Beginner,6,1,Driver,Fatal,Minor,Unknown,No,33
27,2023-03-30,16:28,Thursday,Day,Pune,DL,India,Urban,Roundabout,Dark,Gravel,Damaged,Foggy,42.2,3.6,34.1,64,Auto,1,10,18-25,Male,Beginner,3,1,Unknown,Fatal,Major,Unknown,No,25
28,2021-04-04,13:13,Sunday,Night,Hyderabad,TN,India,Rural,None,Daylight,Gravel,Wet,Stormy,42.2,3.6,34.1,64,Car,4,2,36-45,Male,Unknown,1,3,Driver,Fatal,Minor,Mechanical Failure,No,37
29,2023-08-30,17:19,Wednesday,Night,Chennai,TN,India,Highway,Unknown,Street Light,Concrete,Wet,Stormy,42.2,3.6,34.1,64,Auto,5,8,26-35,Male,Experienced,0,3,Passenger,Fatal,Major,Drunk Driving,No,22
30,2020-01-22,17:47,Wednesday,Day,Delhi,WB,India,Urban,Unknown,Dark,Concrete,Damaged,Stormy,42.2,3.6,34.1,64,Bike,5,18,Unknown,Male,Experienced,5,3,Pedestrian,Serious,Major,Weather,No,31
31,2020-09-09,00:54,Wednesday,Night,Hyderabad,KA,India,Rural,Unknown,Unknown,Gravel,Wet,Foggy,42.2,3.6,34.1,64,Auto,2,12,46-60,Male,Unknown,7,3,Pedestrian,Serious,Fatal,Overspeeding,No,18
32,2022-01-17,10:14,Monday,Night,Kolkata,TS,India,Rural,Crossroad,Daylight,Asphalt,Unknown,Rainy,42.2,3.6,34.1,64,Car,5,18,60+,Male,Unknown,5,1,Unknown,Serious,Minor,Weather,No,44
33,2022-05-06,11:39,Friday,Day,Chennai,KA,India,Urban,Unknown,Unknown,Concrete,Damaged,Foggy,42.2,3.6,34.1,64,Truck,3,19,26-35,Female,Beginner,5,0,Driver,Serious,Major,Mechanical Failure,No,58
34,2021-04-19,21:19,Monday,Day,Delhi,KA,India,Highway,T-Junction,Daylight,Concrete,Damaged,Unknown,42.2,3.6,34.1,64,Auto,2,5,18-25,Female,Experienced,5,2,Driver,Fatal,Minor,Unknown,No,35
35,2022-12-18,05:02,Sunday,Day,Mumbai,TN,India,Urban,Roundabout,Street Light,Asphalt,Wet,Unknown,42.2,3.6,34.1,64,Auto,3,16,26-35,Male,Intermediate,7,1,Driver,Minor,Minor,Weather,Yes,46
36,2021-05-25,23:25,Tuesday,Day,Hyderabad,TN,India,Urban,None,Street Light,Concrete,Unknown,Stormy,42.2,3.6,34.1,64,Bike,2,17,46-60,Female,Intermediate,2,0,Pedestrian,Serious,Minor,Signal Jump,No,12
37,2024-02-08,12:12,Thursday,Day,Hyderabad,TS,India,Highway,Roundabout,Daylight,Asphalt,Unknown,Rainy,42.2,3.6,34.1,64,Bike,3,9,46-60,Male,Intermediate,5,1,Unknown,Serious,Fatal,Signal Jump,No,7
38,2021-11-30,01:36,Tuesday,Day,Mumbai,DL,India,Urban,T-Junction,Street Light,Gravel,Dry,Unknown,42.2,3.6,34.1,64,Truck,2,10,18-25,Female,Intermediate,3,1,Pedestrian,Fatal,Minor,Unknown,No,39
39,2022-09-02,16:37,Friday,Day,Kolkata,TS,India,Urban,T-Junction,Unknown,Gravel,Damaged,Clear,42.2,3.6,34.1,64,Bus,4,19,26-35,Male,Unknown,0,3,Unknown,Fatal,Minor,Weather,Yes,42
40,2020-07-08,01:35,Wednesday,Night,Bengaluru,DL,India,Highway,Roundabout,Daylight,Gravel,Dry,Clear,42.2,3.6,34.1,64,Auto,4,12,Unknown,Female,Beginner,4,0,Unknown,Serious,Minor,Weather,No,15
41,2022-08-15,21:25,Monday,Night,Delhi,WB,India,Rural,Crossroad,Unknown,Gravel,Unknown,Stormy,42.2,3.6,34.1,64,Bike,2,1,36-45,Female,Intermediate,3,1,Driver,Minor,Major,Weather,Yes,40
42,2021-11-17,10:07,Wednesday,Night,Mumbai,WB,India,Rural,T-Junction,Daylight,Gravel,Unknown,Stormy,42.2,3.6,34.1,64,Bus,1,17,36-45,Female,Beginner,5,2,Pedestrian,Serious,Major,Weather,No,56
43,2022-08-15,11:39,Monday,Day,Hyderabad,MH,India,Rural,Unknown,Unknown,Concrete,Dry,Stormy,42.2,3.6,34.1,64,Auto,2,3,Unknown,Female,Beginner,2,3,Pedestrian,Fatal,Major,Signal Jump,No,52
44,2021-07-16,10:21,Friday,Night,Delhi,TN,India,Rural,None,Street Light,Gravel,Damaged,Unknown,42.2,3.6,34.1,64,Auto,1,7,60+,Male,Experienced,4,2,Unknown,Fatal,Minor,Unknown,No,47
45,2023-06-21,19:07,Wednesday,Day,Kolkata,MH,India,Rural,None,Dark,Concrete,Dry,Rainy,42.2,3.6,34.1,64,Bus,3,9,Unknown,Male,Intermediate,6,0,Pedestrian,Fatal,Major,Drunk Driving,No,56
46,2022-04-11,07:25,Monday,Night,Delhi,MH,India,Urban,T-Junction,Unknown,Concrete,Unknown,Stormy,42.2,3.6,34.1,64,Bike,2,5,60+,Female,Beginner,7,1,Unknown,Fatal,Minor,Drunk Driving,No,38
47,2023-02-28,16:19,Tuesday,Night,Bengaluru,TN,India,Highway,Unknown,Daylight,Asphalt,Unknown,Foggy,42.2,3.6,34.1,64,Truck,1,9,26-35,Male,Experienced,4,2,Pedestrian,Fatal,Fatal,Weather,No,27
48,2021-10-08,19:54,Friday,Night,Hyderabad,MH,India,Rural,Roundabout,Street Light,Concrete,Wet,Stormy,42.2,3.6,34.1,64,Auto,2,19,Unknown,Male,Unknown,5,0,Pedestrian,Fatal,Minor,Weather,No,9
49,2020-01-21,15:45,Tuesday,Night,Chennai,KA,India,Highway,None,Daylight,Concrete,Wet,Unknown,42.2,3.6,34.1,64,Car,4,11,60+,Female,Beginner,4,3,Unknown,Serious,Major,Overspeeding,Yes,34
50,2022-04-20,10:06,Wednesday,Day,Bengaluru,DL,India,Rural,Unknown,Unknown,Gravel,Dry,Rainy,42.2,3.6,34.1,64,Car,4,14,46-60,Female,Beginner,5,2,Pedestrian,Minor,Minor,Weather,No,41
51,2020-06-15,15:44,Monday,Day,Bengaluru,TS,India,Urban,Unknown,Daylight,Gravel,Wet,Stormy,42.2,3.6,34.1,64,Car,2,14,18-25,Male,Experienced,2,0,Driver,Minor,Minor,Drunk Driving,No,20
52,2023-07-21,14:55,Friday,Night,Chennai,TN,India,Rural,Crossroad,Daylight,Asphalt,Unknown,Clear,42.2,3.6,34.1,64,Truck,2,8,60+,Unknown,Beginner,0,0,Driver,Fatal,Major,Mechanical Failure,Yes,18
53,2021-01-22,15:26,Friday,Day,Chennai,KA,India,Rural,T-Junction,Unknown,Asphalt,Damaged,Stormy,42.2,3.6,34.1,64,Auto,5,1,Unknown,Female,Unknown,3,2,Passenger,Serious,Minor,Mechanical Failure,Yes,11
54,2021-08-23,20:22,Monday,Day,Kolkata,WB,India,Highway,Unknown,Street Light,Concrete,Damaged,Stormy,42.2,3.6,34.1,64,Bike,4,4,36-45,Male,Unknown,0,1,Unknown,Serious,Minor,Weather,No,57
55,2020-11-11,23:08,Wednesday,Night,Kolkata,TS,India,Highway,Roundabout,Street Light,Asphalt,Dry,Rainy,42.2,3.6,34.1,64,Bike,3,16,Unknown,Male,Experienced,5,0,Driver,Fatal,Minor,Unknown,Yes,37
56,2020-01-14,02:50,Tuesday,Day,Bengaluru,TS,India,Urban,None,Unknown,Gravel,Wet,Foggy,42.2,3.6,34.1,64,Truck,2,1,46-60,Female,Intermediate,2,2,Passenger,Fatal,Minor,Weather,No,6
57,2020-08-29,19:36,Saturday,Day,Delhi,TS,India,Highway,Crossroad,Street Light,Gravel,Dry,Stormy,42.2,3.6,34.1,64,Auto,5,19,36-45,Male,Beginner,7,3,Unknown,Fatal,Minor,Mechanical Failure,No,50
58,2022-02-15,09:16,Tuesday,Day,Mumbai,MH,India,Highway,Roundabout,Dark,Gravel,Wet,Stormy,42.2,3.6,34.1,64,Bus,2,3,60+,Female,Beginner,1,2,Pedestrian,Serious,Major,Overspeeding,No,9
59,2023-10-01,14:30,Sunday,Day,Mumbai,MH,India,Highway,None,Daylight,Concrete,Damaged,Unknown,42.2,3.6,34.1,64,Bus,4,2,Unknown,Female,Intermediate,5,2,Unknown,Serious,Fatal,Drunk Driving,No,49
60,2021-07-18,22:56,Sunday,Night,Bengaluru,MH,India,Urban,T-Junction,Unknown,Concrete,Wet,Rainy,42.2,3.6,34.1,64,Auto,1,17,60+,Male,Unknown,3,0,Pedestrian,Minor,Major,Unknown,No,49
61,2022-06-16,07:14,Thursday,Night,Delhi,MH,India,Urban,Roundabout,Dark,Asphalt,Wet,Unknown,42.2,3.6,34.1,64,Auto,1,11,46-60,Unknown,Beginner,3,3,Unknown,Minor,Minor,Weather,No,43
62,2023-09-25,20:29,Monday,Day,Chennai,KA,India,Urban,None,Daylight,Gravel,Dry,Stormy,42.2,3.6,34.1,64,Bike,4,3,36-45,Female,Experienced,6,1,Pedestrian,Minor,Minor,Weather,No,19
63,2020-04-01,13:19,Wednesday,Night,Pune,MH,India,Highway,Crossroad,Unknown,Concrete,Damaged,Stormy,42.2,3.6,34.1,64,Truck,3,7,18-25,Female,Experienced,5,2,Unknown,Minor,Minor,Overspeeding,No,46
64,2023-10-22,06:52,Sunday,Night,Bengaluru,TN,India,Highway,None,Street Light,Concrete,Wet,Clear,42.2,3.6,34.1,64,Truck,5,10,18-25,Female,Experienced,1,3,Unknown,Minor,Major,Drunk Driving,No,6
65,2022-08-13,22:11,Saturday,Night,Hyderabad,TS,India,Urban,Unknown,Unknown,Asphalt,Damaged,Unknown,42.2,3.6,34.1,64,Bike,2,3,46-60,Male,Beginner,6,3,Driver,Fatal,Minor,Weather,No,28
66,2024-01-18,16:16,Thursday,Day,Delhi,KA,India,Highway,Crossroad,Unknown,Gravel,Wet,Rainy,42.2,3.6,34.1,64,Car,2,8,Unknown,Female,Intermediate,4,2,Pedestrian,Serious,Major,Unknown,No,33
67,2023-12-22,09:29,Friday,Day,Hyderabad,WB,India,Highway,Roundabout,Daylight,Gravel,Damaged,Stormy,42.2,3.6,34.1,64,Bus,2,5,60+,Female,Beginner,3,0,Unknown,Minor,Minor,Drunk Driving,No,33
68,2021-05-23,18:45,Sunday,Night,Hyderabad,MH,India,Rural,T-Junction,Daylight,Asphalt,Wet,Clear,42.2,3.6,34.1,64,Auto,5,10,Unknown,Male,Intermediate,6,1,Driver,Fatal,Minor,Drunk Driving,No,25
69,2022-02-14,10:33,Monday,Night,Bengaluru,WB,India,Urban,Crossroad,Daylight,Asphalt,Unknown,Clear,42.2,3.6,34.1,64,Bus,5,12,46-60,Male,Intermediate,3,0,Driver,Serious,Minor,Unknown,No,29
70,2020-02-04,17:06,Tuesday,Day,Delhi,TS,India,Urban,Crossroad,Dark,Asphalt,Damaged,Foggy,42.2,3.6,34.1,64,Bus,4,18,36-45,Female,Beginner,6,1,Driver,Minor,Major,Mechanical Failure,No,26
71,2020-07-24,11:57,Friday,Night,Hyderabad,KA,India,Highway,Crossroad,Street Light,Asphalt,Unknown,Rainy,42.2,3.6,34.1,64,Truck,5,6,18-25,Female,Unknown,6,3,Pedestrian,Fatal,Minor,Weather,No,23
72,2023-01-09,01:58,Monday,Day,Kolkata,TS,India,Highway,None,Unknown,Gravel,Unknown,Clear,42.2,3.6,34.1,64,Bike,2,8,60+,Female,Intermediate,5,3,Driver,Minor,Minor,Mechanical Failure,No,17
73,2023-11-12,19:49,Sunday,Night,Kolkata,WB,India,Rural,Unknown,Unknown,Gravel,Unknown,Rainy,42.2,3.6,34.1,64,Car,2,18,36-45,Female,Beginner,3,0,Passenger,Minor,Minor,Drunk Driving,No,42
74,2022-10-22,05:23,Saturday,Day,Delhi,KA,India,Urban,T-Junction,Street Light,Asphalt,Wet,Stormy,42.2,3.6,34.1,64,Car,5,6,18-25,Male,Unknown,2,1,Passenger,Serious,Fatal,Weather,Yes,37
75,2022-10-18,09:31,Tuesday,Day,Mumbai,DL,India,Urban,T-Junction,Unknown,Concrete,Damaged,Foggy,42.2,3.6,34.1,64,Bike,5,9,18-25,Female,Unknown,1,2,Unknown,Fatal,Minor,Signal Jump,No,37
76,2023-11-14,19:14,Tuesday,Day,Pune,KA,India,Highway,Unknown,Daylight,Concrete,Wet,Rainy,42.2,3.6,34.1,64,Bus,4,16,26-35,Female,Beginner,6,0,Pedestrian,Serious,Major,Signal Jump,No,16
77,2021-07-19,04:19,Monday,Day,Hyderabad,MH,India,Urban,None,Unknown,Gravel,Wet,Foggy,42.2,3.6,34.1,64,Bike,1,11,60+,Female,Beginner,3,1,Passenger,Minor,Minor,Overspeeding,No,50
78,2023-02-03,02:36,Friday,Night,Hyderabad,WB,India,Highway,None,Street Light,Gravel,Damaged,Rainy,42.2,3.6,34.1,64,Bike,5,2,46-60,Female,Unknown,6,2,Driver,Minor,Minor,Unknown,No,27
79,2021-12-03,07:07,Friday,Day,Delhi,TS,India,Rural,Unknown,Dark,Asphalt,Dry,Rainy,42.2,3.6,34.1,64,Auto,1,17,26-35,Female,Beginner,5,2,Passenger,Minor,Minor,Mechanical Failure,Yes,33
80,2021-02-05,07:43,Friday,Night,Kolkata,TS,India,Highway,Unknown,Dark,Concrete,Wet,Unknown,42.2,3.6,34.1,64,Auto,3,13,18-25,Female,Unknown,1,1,Pedestrian,Serious,Minor,Unknown,No,33
81,2021-12-30,23:22,Thursday,Day,Pune,TS,India,Rural,Roundabout,Street Light,Gravel,Unknown,Foggy,42.2,3.6,34.1,64,Bus,1,7,60+,Female,Unknown,4,3,Passenger,Minor,Major,Drunk Driving,Yes,47
82,2020-06-10,07:10,Wednesday,Day,Mumbai,TN,India,Highway,None,Unknown,Concrete,Wet,Rainy,42.2,3.6,34.1,64,Truck,5,10,60+,Female,Unknown,3,0,Passenger,Fatal,Minor,Signal Jump,No,5
83,2020-07-20,13:07,Monday,Night,Hyderabad,TN,India,Rural,Crossroad,Unknown,Asphalt,Dry,Unknown,42.2,3.6,34.1,64,Car,2,13,26-35,Female,Experienced,0,2,Passenger,Minor,Minor,Weather,No,28
84,2022-09-22,23:59,Thursday,Night,Bengaluru,MH,India,Rural,T-Junction,Dark,Gravel,Unknown,Unknown,42.2,3.6,34.1,64,Auto,2,10,36-45,Female,Beginner,5,3,Driver,Serious,Minor,Unknown,Yes,9
85,2020-09-26,09:38,Saturday,Night,Kolkata,DL,India,Urban,None,Unknown,Gravel,Wet,Foggy,42.2,3.6,34.1,64,Bus,5,4,36-45,Female,Experienced,0,1,Driver,Minor,Minor,Unknown,No,39
86,2022-03-26,16:35,Saturday,Day,Delhi,TN,India,Highway,Unknown,Dark,Concrete,Damaged,Stormy,42.2,3.6,34.1,64,Bike,4,11,46-60,Male,Beginner,7,0,Passenger,Fatal,Minor,Drunk Driving,No,49
87,2023-07-18,12:31,Tuesday,Day,Delhi,KA,India,Urban,Crossroad,Street Light,Concrete,Unknown,Foggy,42.2,3.6,34.1,64,Auto,5,9,60+,Female,Intermediate,5,2,Driver,Fatal,Minor,Unknown,No,9
88,2021-03-31,03:36,Wednesday,Night,Kolkata,WB,India,Urban,Roundabout,Street Light,Gravel,Dry,Rainy,42.2,3.6,34.1,64,Bike,5,16,Unknown,Male,Experienced,0,3,Passenger,Serious,Fatal,Overspeeding,No,17
89,2024-01-25,21:03,Thursday,Day,Hyderabad,MH,India,Highway,Roundabout,Unknown,Concrete,Wet,Stormy,42.2,3.6,34.1,64,Bike,4,17,26-35,Female,Beginner,0,1,Passenger,Minor,Fatal,Drunk Driving,No,36
90,2023-06-29,17:37,Thursday,Night,Mumbai,DL,India,Urban,Crossroad,Daylight,Concrete,Damaged,Foggy,42.2,3.6,34.1,64,Auto,4,5,18-25,Male,Beginner,5,3,Passenger,Serious,Minor,Overspeeding,No,59
91,2022-10-13,23:55,Thursday,Day,Hyderabad,KA,India,Urban,Crossroad,Daylight,Asphalt,Unknown,Foggy,42.2,3.6,34.1,64,Bus,3,5,36-45,Male,Unknown,2,2,Unknown,Fatal,Major,Drunk Driving,No,46
92,2020-10-22,22:21,Thursday,Day,Kolkata,TS,India,Urban,Unknown,Dark,Concrete,Unknown,Foggy,42.2,3.6,34.1,64,Car,3,6,26-35,Male,Intermediate,5,0,Unknown,Serious,Minor,Weather,No,31
93,2021-12-20,01:30,Monday,Day,Chennai,TN,India,Highway,Unknown,Street Light,Gravel,Damaged,Foggy,42.2,3.6,34.1,64,Bus,3,2,46-60,Male,Intermediate,4,0,Unknown,Minor,Minor,Mechanical Failure,Yes,28
94,2020-12-03,22:10,Thursday,Night,Hyderabad,KA,India,Urban,T-Junction,Dark,Asphalt,Dry,Stormy,42.2,3.6,34.1,64,Truck,4,14,46-60,Male,Beginner,3,2,Pedestrian,Minor,Minor,Signal Jump,No,7
95,2022-05-28,13:31,Saturday,Day,Pune,DL,India,Urban,T-Junction,Street Light,Gravel,Unknown,Rainy,42.2,3.6,34.1,64,Truck,1,11,Unknown,Female,Intermediate,4,0,Pedestrian,Fatal,Minor,Drunk Driving,No,5
96,2022-12-12,04:37,Monday,Night,Kolkata,MH,India,Urban,Roundabout,Dark,Asphalt,Dry,Unknown,42.2,3.6,34.1,64,Car,5,19,60+,Male,Intermediate,5,0,Unknown,Fatal,Minor,Drunk Driving,No,33
97,2022-03-02,09:39,Wednesday,Night,Pune,KA,India,Highway,Crossroad,Dark,Asphalt,Dry,Foggy,42.2,3.6,34.1,64,Truck,3,11,46-60,Female,Experienced,0,3,Driver,Fatal,Minor,Weather,Yes,49
98,2020-08-04,13:23,Tuesday,Day,Kolkata,MH,India,Rural,Roundabout,Dark,Concrete,Damaged,Unknown,42.2,3.6,34.1,64,Bike,1,6,46-60,Male,Intermediate,5,1,Pedestrian,Fatal,Minor,Weather,No,26
99,2022-02-02,02:43,Wednesday,Night,Chennai,TS,India,Rural,Unknown,Unknown,Concrete,Unknown,Unknown,42.2,3.6,34.1,64,Truck,5,13,Unknown,Female,Intermediate,4,2,Unknown,Fatal,Minor,Signal Jump,No,9
100,2020-07-06,15:59,Monday,Night,Pune,DL,India,Rural,None,Daylight,Gravel,Wet,Unknown,42.2,3.6,34.1,64,Auto,1,19,Unknown,Female,Unknown,4,2,Unknown,Minor,Major,Drunk Driving,No,47
101,2021-01-14,22:16,Thursday,Day,Pune,DL,India,Rural,Unknown,Street Light,Concrete,Damaged,Foggy,42.2,3.6,34.1,64,Bike,2,3,36-45,Male,Unknown,2,3,Unknown,Minor,Major,Weather,No,25
102,2021-05-07,00:54,Friday,Night,Bengaluru,TN,India,Urban,None,Dark,Asphalt,Damaged,Foggy,42.2,3.6,34.1,64,Bus,2,16,36-45,Male,Experienced,5,3,Driver,Minor,Minor,Mechanical Failure,No,16
103,2022-11-30,09:56,Wednesday,Night,Delhi,WB,India,Highway,Crossroad,Daylight,Concrete,Dry,Foggy,42.2,3.6,34.1,64,Car,5,9,46-60,Female,Beginner,6,1,Passenger,Serious,Minor,Overspeeding,No,32
104,2023-03-26,22:41,Sunday,Day,Pune,DL,India,Urban,Crossroad,Dark,Gravel,Wet,Foggy,42.2,3.6,34.1,64,Auto,1,3,Unknown,Female,Unknown,6,0,Pedestrian,Serious,Minor,Overspeeding,No,15
105,2020-01-15,20:55,Wednesday,Day,Delhi,KA,India,Highway,Crossroad,Dark,Asphalt,Damaged,Clear,42.2,3.6,34.1,64,Auto,1,19,60+,Female,Experienced,0,2,Passenger,Fatal,Minor,Weather,No,19
106,2020-03-05,01:08,Thursday,Day,Kolkata,KA,India,Urban,T-Junction,Street Light,Gravel,Dry,Rainy,42.2,3.6,34.1,64,Car,4,15,36-45,Unknown,Intermediate,1,2,Driver,Minor,Fatal,Signal Jump,Yes,42
107,2021-06-04,21:12,Friday,Night,Mumbai,KA,India,Rural,T-Junction,Unknown,Concrete,Unknown,Clear,42.2,3.6,34.1,64,Truck,3,13,36-45,Male,Experienced,7,1,Passenger,Fatal,Minor,Weather,No,39
108,2023-09-29,15:17,Friday,Night,Hyderabad,TS,India,Rural,None,Dark,Asphalt,Dry,Stormy,42.2,3.6,34.1,64,Car,5,17,Unknown,Female,Unknown,4,3,Pedestrian,Minor,Fatal,Weather,No,52
109,2023-02-26,18:11,Sunday,Day,Bengaluru,DL,India,Highway,Roundabout,Street Light,Gravel,Wet,Clear,42.2,3.6,34.1,64,Car,1,8,46-60,Female,Intermediate,5,3,Driver,Minor,Major,Overspeeding,No,49
110,2021-10-09,07:16,Saturday,Night,Kolkata,DL,India,Urban,Roundabout,Unknown,Concrete,Wet,Clear,42.2,3.6,34.1,64,Truck,3,14,60+,Unknown,Experienced,6,0,Pedestrian,Minor,Minor,Weather,No,20
